"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-01",,"52","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-02",,"47","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-03",,"48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-04",,"49","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-05",,"50","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-06",,"50","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-07",,"48","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-08",,"46","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-09",,"54","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-10",,"55","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-11",,"57","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-12",,"53","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-13",,"56","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-14",,"48","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-15",,"51","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-16",,"45","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-17",,"52","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-18",,"59","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-19",,"60","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-20",,"57","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-21",,"56","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-22",,"48","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-23",,"49","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-24",,"46","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-25",,"54","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-26",,"48","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-27",,"49","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-28",,"55","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-29",,"56","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-30",,"48","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01-31",,"49","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-02-01",,"49","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-02-02",,"54","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-02-03",,"50","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-02-04",,"57","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-02-05",,"58","45"
