,ILI_Cases,Avg_Temp
2010-10-03,16,60.07142857142857
2010-10-10,34,57.07142857142857
2010-10-17,28,51.785714285714285
2010-10-24,30,52.57142857142857
2010-10-31,24,49.785714285714285
2010-11-07,40,53.714285714285715
2010-11-14,44,44.857142857142854
2010-11-21,21,43.07142857142857
2010-11-28,35,31.357142857142858
2010-12-05,33,41.642857142857146
2010-12-12,14,47.285714285714285
2010-12-19,6,43.785714285714285
2010-12-26,30,44.714285714285715
2011-01-02,35,34.92857142857143
2011-01-09,33,38.357142857142854
2011-01-16,16,44.285714285714285
2011-01-23,46,42.642857142857146
2011-01-30,75,44.857142857142854
2011-02-06,63,43.0
2011-02-13,114,41.857142857142854
2011-02-20,94,39.785714285714285
2011-02-27,98,32.642857142857146
2011-03-06,82,40.92857142857143
2011-03-13,73,45.5
2011-03-20,76,45.214285714285715
2011-03-27,42,46.214285714285715
2011-04-03,18,46.142857142857146
2011-04-10,25,44.5
2011-04-17,33,44.642857142857146
2011-04-24,16,46.857142857142854
2011-05-01,16,47.57142857142857
2011-05-08,11,50.57142857142857
2011-05-15,8,51.285714285714285
2011-05-22,2,53.57142857142857
2011-05-29,2,53.42857142857143
2011-06-05,3,57.642857142857146
2011-06-12,1,58.714285714285715
2011-06-19,0,57.5
2011-06-26,0,60.57142857142857
2011-07-03,0,63.07142857142857
2011-07-10,0,64.42857142857143
2011-07-17,0,63.142857142857146
2011-07-24,0,64.35714285714286
2011-07-31,0,64.85714285714286
2011-08-07,0,65.85714285714286
2011-08-14,0,62.857142857142854
2011-08-21,1,67.28571428571429
2011-08-28,0,69.0
2011-09-04,1,63.642857142857146
2011-09-11,1,69.85714285714286
2011-09-18,4,59.785714285714285
2011-09-25,0,65.85714285714286
2011-10-02,38,57.42857142857143
2011-10-09,39,54.57142857142857
2011-10-16,32,51.785714285714285
2011-10-23,39,53.92857142857143
2011-10-30,55,48.214285714285715
2011-11-06,41,43.57142857142857
2011-11-13,55,46.714285714285715
2011-11-20,39,38.642857142857146
2011-11-27,42,44.785714285714285
2011-12-04,28,38.5
2011-12-11,47,35.42857142857143
2011-12-18,47,38.714285714285715
2011-12-25,43,40.785714285714285
2012-01-01,53,44.42857142857143
2012-01-08,44,43.714285714285715
2012-01-15,39,36.57142857142857
2012-01-22,49,34.857142857142854
2012-01-29,93,41.0
2012-02-05,90,45.5
2012-02-12,83,47.714285714285715
2012-02-19,92,41.214285714285715
2012-02-26,84,41.785714285714285
2012-03-04,103,41.07142857142857
2012-03-11,97,41.785714285714285
2012-03-18,78,40.785714285714285
2012-03-25,102,42.857142857142854
2012-04-01,115,46.714285714285715
2012-04-08,125,47.714285714285715
2012-04-15,120,51.5
2012-04-22,93,51.285714285714285
2012-04-29,106,53.714285714285715
2012-05-06,79,49.285714285714285
2012-05-13,54,55.785714285714285
2012-05-20,26,58.07142857142857
2012-05-27,25,56.285714285714285
2012-06-03,19,57.642857142857146
2012-06-10,16,53.642857142857146
2012-06-17,17,59.92857142857143
2012-06-24,16,58.5
2012-07-01,13,61.214285714285715
2012-07-08,12,63.214285714285715
2012-07-15,12,65.71428571428571
2012-07-22,13,64.78571428571429
2012-07-29,7,64.07142857142857
2012-08-05,14,68.57142857142857
2012-08-12,11,68.14285714285714
2012-08-19,8,72.14285714285714
2012-08-26,7,64.28571428571429
2012-09-02,13,62.857142857142854
2012-09-09,9,66.5
2012-09-16,18,62.42857142857143
2012-09-23,18,62.0
2012-09-30,38,60.57142857142857
2012-10-07,40,58.714285714285715
2012-10-14,49,54.785714285714285
2012-10-21,47,52.0
2012-10-28,61,48.785714285714285
2012-11-04,60,56.142857142857146
2012-11-11,86,44.42857142857143
2012-11-18,56,46.42857142857143
2012-11-25,75,45.07142857142857
2012-12-02,71,46.785714285714285
2012-12-09,100,43.92857142857143
2012-12-16,88,41.0
2012-12-23,99,39.92857142857143
2013-01-06,127,38.142857142857146
2013-01-13,173,37.5
2013-01-20,231,34.07142857142857
2013-01-27,181,39.07142857142857
2013-02-03,174,43.857142857142854
2013-02-10,157,44.42857142857143
2013-02-17,114,46.142857142857146
2013-02-24,88,42.642857142857146
2013-03-03,96,47.142857142857146
2013-03-10,80,44.57142857142857
2013-03-17,47,49.07142857142857
2013-03-24,31,43.785714285714285
2013-03-31,41,53.57142857142857
2013-04-07,49,51.785714285714285
2013-04-14,31,47.92857142857143
2013-04-21,25,49.57142857142857
2013-04-28,26,54.642857142857146
2013-05-05,31,57.0
2013-05-12,17,63.92857142857143
2013-05-19,17,57.714285714285715
2013-05-26,13,54.142857142857146
2013-06-02,18,58.57142857142857
2013-06-09,21,64.35714285714286
2013-06-16,21,61.92857142857143
2013-06-23,19,63.642857142857146
2013-06-30,10,69.78571428571429
2013-07-07,10,68.85714285714286
2013-07-14,12,66.28571428571429
2013-07-21,16,68.64285714285714
2013-07-28,11,69.42857142857143
2013-08-04,5,65.71428571428571
2013-08-11,7,70.57142857142857
2013-08-18,8,69.85714285714286
2013-08-25,11,69.5
2013-09-01,9,70.07142857142857
2013-09-08,6,68.07142857142857
2013-09-15,11,67.64285714285714
2013-09-22,11,62.857142857142854
2013-09-29,18,55.57142857142857
2013-10-06,40,54.5
2013-10-13,35,52.857142857142854
2013-10-20,33,50.214285714285715
2013-10-27,43,49.857142857142854
2013-11-03,40,51.642857142857146
2013-11-10,28,49.07142857142857
2013-11-17,29,50.0
2013-11-24,23,43.642857142857146
2013-12-01,34,47.214285714285715
2013-12-08,41,31.642857142857142
2013-12-15,47,39.857142857142854
2013-12-22,48,42.857142857142854
2013-12-29,51,41.642857142857146
2014-01-05,71,42.5
2014-01-12,127,46.42857142857143
2014-01-19,117,44.142857142857146
2014-01-26,117,43.357142857142854
2014-02-02,82,44.214285714285715
2014-02-09,78,31.857142857142858
2014-02-16,69,47.07142857142857
2014-02-23,67,42.857142857142854
2014-03-02,28,45.785714285714285
2014-03-09,35,52.92857142857143
2014-03-16,29,49.285714285714285
2014-03-23,28,44.357142857142854
2014-03-30,28,48.92857142857143
2014-04-06,27,49.857142857142854
2014-04-13,22,53.785714285714285
2014-04-20,29,50.642857142857146
2014-04-27,29,49.714285714285715
2014-05-04,17,58.857142857142854
2014-05-11,25,53.785714285714285
2014-05-18,15,63.857142857142854
2014-05-25,21,60.0
2014-06-01,11,59.5
2014-06-08,14,62.142857142857146
2014-06-15,15,60.285714285714285
2014-06-22,14,60.357142857142854
2014-06-29,12,64.71428571428571
2014-07-06,5,68.64285714285714
2014-07-13,9,72.14285714285714
2014-07-20,7,68.5
2014-07-27,6,64.78571428571429
2014-08-03,15,72.92857142857143
2014-08-10,8,69.78571428571429
2014-08-17,7,70.5
2014-08-24,10,67.07142857142857
2014-08-31,4,67.78571428571429
2014-09-07,10,66.57142857142857
