PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Washington,2010,40,X,0.510041,X,X,X,X,X,X,16,17,3137
States,Washington,2010,41,X,1.04007,X,X,X,X,X,X,34,16,3269
States,Washington,2010,42,X,0.904393,X,X,X,X,X,X,28,15,3096
States,Washington,2010,43,X,0.95511,X,X,X,X,X,X,30,15,3141
States,Washington,2010,44,X,0.78637,X,X,X,X,X,X,24,15,3052
States,Washington,2010,45,X,1.06724,X,X,X,X,X,X,40,18,3748
States,Washington,2010,46,X,1.33132,X,X,X,X,X,X,44,16,3305
States,Washington,2010,47,X,1.87333,X,X,X,X,X,X,21,14,1121
States,Washington,2010,48,X,0.981767,X,X,X,X,X,X,35,17,3565
States,Washington,2010,49,X,0.96463,X,X,X,X,X,X,33,17,3421
States,Washington,2010,50,X,0.647549,X,X,X,X,X,X,14,16,2162
States,Washington,2010,51,X,0.387097,X,X,X,X,X,X,6,17,1550
States,Washington,2010,52,X,2.45902,X,X,X,X,X,X,30,15,1220
States,Washington,2011,1,X,1.5224,X,X,X,X,X,X,35,15,2299
States,Washington,2011,2,X,1.21906,X,X,X,X,X,X,33,16,2707
States,Washington,2011,3,X,0.721046,X,X,X,X,X,X,16,14,2219
States,Washington,2011,4,X,1.81388,X,X,X,X,X,X,46,14,2536
States,Washington,2011,5,X,2.81109,X,X,X,X,X,X,75,15,2668
States,Washington,2011,6,X,2.16644,X,X,X,X,X,X,63,16,2908
States,Washington,2011,7,X,4.14244,X,X,X,X,X,X,114,14,2752
States,Washington,2011,8,X,3.80721,X,X,X,X,X,X,94,14,2469
States,Washington,2011,9,X,3.46903,X,X,X,X,X,X,98,14,2825
States,Washington,2011,10,X,3.04946,X,X,X,X,X,X,82,15,2689
States,Washington,2011,11,X,3.64271,X,X,X,X,X,X,73,16,2004
States,Washington,2011,12,X,3.06081,X,X,X,X,X,X,76,16,2483
States,Washington,2011,13,X,1.54696,X,X,X,X,X,X,42,14,2715
States,Washington,2011,14,X,0.79858,X,X,X,X,X,X,18,11,2254
States,Washington,2011,15,X,0.970497,X,X,X,X,X,X,25,12,2576
States,Washington,2011,16,X,1.38714,X,X,X,X,X,X,33,11,2379
States,Washington,2011,17,X,0.649087,X,X,X,X,X,X,16,11,2465
States,Washington,2011,18,X,0.720721,X,X,X,X,X,X,16,10,2220
States,Washington,2011,19,X,0.580781,X,X,X,X,X,X,11,11,1894
States,Washington,2011,20,X,0.498132,X,X,X,X,X,X,8,10,1606
States,Washington,2011,21,X,0.18018,X,X,X,X,X,X,2,6,1110
States,Washington,2011,22,X,0.297177,X,X,X,X,X,X,2,5,673
States,Washington,2011,23,X,0.332226,X,X,X,X,X,X,3,5,903
States,Washington,2011,24,X,0.268097,X,X,X,X,X,X,1,5,373
States,Washington,2011,25,X,0,X,X,X,X,X,X,0,4,446
States,Washington,2011,26,X,0,X,X,X,X,X,X,0,4,495
States,Washington,2011,27,X,0,X,X,X,X,X,X,0,4,344
States,Washington,2011,28,X,0,X,X,X,X,X,X,0,4,389
States,Washington,2011,29,X,0,X,X,X,X,X,X,0,4,477
States,Washington,2011,30,X,0,X,X,X,X,X,X,0,5,638
States,Washington,2011,31,X,0,X,X,X,X,X,X,0,5,578
States,Washington,2011,32,X,0,X,X,X,X,X,X,0,5,647
